Network,Network,Assortivity,GFD1,GFD2,GFD3,GFD4,GFD5,GFD6,GFD7,GFD8,GFD9,GFD10,GFD11,GFD12,GFD13,GFD14,GFD15,GFD16,GFD17,GFD18,GFD19,GFD20,GFD21,GFD22,GFD23,GFD24,GFD25,GFD26,GFD27,GFD28,GFD29,Hawkes,Eigen,SIS,LOG_Hawkes,LOG_Eigen,LOG_SIS
12,soc-firm-hi-tech_net12,-0.1445,-1.63704,-2.52353,-1.15835,-1.38999,-2.22613,-1.44737,-2.19447,-3.34744,-0.956896,-0.624622,-1.29607,-1.06742,-1.24937,-1.14756,-2.14939,-1.22142,-1.34455,-2.1618,-1.51351,-2.48214,-1.7095,-2.55349,-2.3332,-1.85452,-2.29736,-2.60271,-2.7702,-3.45658,-4.30168,15.059,7.6637,9.5123,1.177796133,0.884438496,0.978285539
13,soc-firm-hi-tech_net13,-0.19939,-1.66219,-2.51635,-1.12328,-1.34503,-2.28049,-1.44074,-2.13142,-2.95926,-0.916075,-0.607602,-1.2965,-1.09919,-1.24783,-1.18908,-2.14939,-1.24822,-1.40077,-2.2335,-1.53825,-2.52353,-1.81596,-2.79653,-2.0842,-1.96924,-2.45042,-2.46917,-3.30168,-3.07123,-4.30168,13.216,7.6066,8.7543,1.12110003,0.881190579,0.942221425
14,soc-firm-hi-tech_net14,-0.15785,-1.6612,-2.44435,-1.16086,-1.36116,-2.20131,-1.38365,-2.1227,-3.2225,-0.966624,-0.645487,-1.32032,-1.08631,-1.22142,-1.10385,-2.26029,-1.28298,-1.32902,-2.04883,-1.50372,-2.47561,-1.68468,-2.48877,-2.2486,-1.84836,-2.26029,-2.38787,-2.88671,-3.18774,-4.30168,15.887,7.6879,9.7772,1.201041896,0.885807726,0.990214499
15,soc-firm-hi-tech_net15,-0.099996,-1.67947,-2.37226,-1.16086,-1.39266,-2.14634,-1.39266,-2.07123,-3.34744,-0.946996,-0.663591,-1.44495,-1.05989,-1.2444,-1.10772,-2.20826,-1.23685,-1.27884,-1.9774,-1.49686,-2.46283,-1.6475,-2.50234,-2.39859,-1.77405,-2.2335,-2.48877,-2.67843,-3.34744,-4.30168,20.068,7.7709,11.176,1.302504092,0.89047132,1.048286393
16,soc-firm-hi-tech_net16,-0.01618,-1.64272,-2.40959,-1.14332,-1.42604,-2.29308,-1.41745,-2.00942,-2.87032,-0.92785,-0.677708,-1.4035,-1.06691,-1.22504,-1.16306,-2.10578,-1.24822,-1.28381,-2.10856,-1.45473,-2.60271,-1.7095,-2.2723,-2.0842,-1.7626,-2.30605,-2.13436,-2.66821,-2.93995,-3.60271,49.914,7.989,17.239,1.698222375,0.902492421,1.23651207
17,soc-firm-hi-tech_net17,-0.2706,-1.64847,-2.58568,-1.16023,-1.35327,-2.37226,-1.3847,-2.12559,-3.07123,-0.915539,-0.614152,-1.24745,-1.0821,-1.20581,-1.15154,-2.14634,-1.37175,-1.3932,-2.15246,-1.54581,-2.79653,-1.73583,-2.83928,-2.3572,-1.89175,-2.53825,-2.52353,-3.45658,-3.39859,-4.30168,11.25,7.522,7.893,1.051152522,0.876333329,0.897242103
18,soc-firm-hi-tech_net18,-0.13634,-1.62407,-2.42087,-1.1749,-1.32077,-2.10856,-1.44859,-2.19788,-3.60271,-0.9832,-0.64789,-1.29564,-1.1207,-1.28758,-1.09892,-2.42087,-1.13171,-1.35769,-2.10028,-1.51849,-2.28465,-1.6889,-2.4955,-2.45658,-1.84684,-2.05864,-2.46917,-2.60271,-3.45658,-4.30168,18.245,7.7405,10.594,1.261143868,0.888769015,1.025059969
19,soc-firm-hi-tech_net19,-0.085903,-1.65626,-2.50929,-1.16275,-1.44859,-2.30168,-1.39751,-2.05617,-3.52353,-0.961634,-0.676368,-1.40571,-1.04185,-1.2254,-1.09405,-2.34264,-1.28215,-1.27556,-1.96522,-1.43421,-2.44435,-1.66419,-2.40405,-2.19788,-1.69423,-2.15867,-2.36718,-2.87032,-3.30168,-4.30168,20.619,7.7785,11.362,1.314267599,0.890895856,1.055454785
20,soc-firm-hi-tech_net20,-0.23573,-1.68784,-2.56132,-1.14272,-1.31001,-2.25246,-1.49145,-2.21178,-3.45658,-0.914825,-0.625536,-1.20338,-1.1207,-1.28423,-1.15493,-2.20131,-1.24554,-1.38734,-2.17783,-1.48082,-2.56132,-1.73583,-2.48214,-2.62958,-1.83186,-2.38787,-2.79653,-2.83928,-3.82456,-4.30168,12.608,7.5853,8.5109,1.1006462,0.879972762,0.929975488
21,soc-firm-hi-tech_net21,-0.14747,-1.68573,-2.4955,-1.18541,-1.41802,-2.38787,-1.46032,-2.16814,-3.34744,-0.96084,-0.5871,-1.29479,-1.09621,-1.22431,-1.13703,-2.20131,-1.2859,-1.33507,-2.18111,-1.47367,-2.7219,-1.8363,-2.46283,-2.14031,-1.82311,-2.46917,-2.48214,-2.87032,-3.45658,-4.30168,14.65,7.6523,9.3343,1.165837625,0.883791988,0.970081755
22,soc-firm-hi-tech_net22,-0.18307,-1.66922,-2.53083,-1.15929,-1.36067,-2.24478,-1.44495,-2.11416,-3.60271,-0.89446,-0.660405,-1.33931,-1.04617,-1.24669,-1.11388,-2.07896,-1.31715,-1.30255,-1.96522,-1.57987,-2.60271,-1.66219,-2.45658,-2.33789,-1.85452,-2.42087,-2.54581,-2.90374,-4.00065,-4.30168,14.977,7.6649,9.4487,1.17542483,0.884506493,0.97537206
23,soc-firm-hi-tech_net23,-0.26392,-1.60098,-2.62044,-1.16623,-1.34744,-2.21178,-1.51564,-2.18774,-3.69962,-0.893611,-0.599509,-1.24098,-1.07663,-1.30957,-1.1874,-2.13733,-1.24554,-1.36921,-2.30605,-1.57252,-2.55349,-1.77793,-2.53825,-2.4955,-1.95143,-2.46283,-2.97946,-2.79653,-3.69962,-4.30168,11.705,7.5462,8.1134,1.068371418,0.877728311,0.909202888
24,soc-firm-hi-tech_net24,-0.11186,-1.71622,-2.53825,-1.17555,-1.40736,-2.21178,-1.46599,-2.0842,-3.26029,-0.926749,-0.630138,-1.34599,-1.04233,-1.30605,-1.15835,-2.24098,-1.2376,-1.27556,-2.14634,-1.49078,-2.48877,-1.74901,-2.3932,-2.16496,-1.75145,-2.3774,-2.41519,-2.93995,-3.30168,-4.30168,18.486,7.7431,10.681,1.266842949,0.888914868,1.028611915
25,soc-firm-hi-tech_net25,-0.2387,-1.73939,-2.63892,-1.15092,-1.36067,-2.33789,-1.53676,-2.27638,-3.45658,-0.899592,-0.583595,-1.24899,-1.09892,-1.28927,-1.17264,-2.04161,-1.20931,-1.4272,-2.26826,-1.55739,-2.59411,-1.76512,-2.61148,-2.42087,-1.96723,-2.46283,-2.81032,-3.12559,-3.18774,-4.30168,11.865,7.5516,8.2037,1.074267743,0.878038978,0.91400977
26,soc-firm-hi-tech_net26,-0.17194,-1.68259,-2.53825,-1.15092,-1.38787,-2.24098,-1.45845,-2.07637,-3.30168,-0.938257,-0.629768,-1.26266,-1.08552,-1.24976,-1.13525,-2.04883,-1.22069,-1.35523,-2.32396,-1.54126,-2.32396,-1.72076,-2.63892,-2.24098,-1.98781,-2.30605,-2.53083,-2.6889,-3.34744,-4.30168,15.771,7.6862,9.7456,1.197859232,0.885711681,0.988808582
27,soc-firm-hi-tech_net27,-0.21348,-1.65626,-2.53083,-1.1497,-1.38893,-2.31941,-1.43069,-2.14031,-3.39859,-0.921832,-0.63125,-1.33133,-1.04161,-1.25714,-1.11388,-2.18441,-1.29995,-1.36166,-2.03451,-1.56929,-2.65823,-1.67329,-2.65823,-2.13142,-1.91787,-2.34744,-2.4955,-2.92147,-3.69962,-4.30168,12.869,7.5936,8.6137,1.109544801,0.880447717,0.935189742
28,soc-firm-hi-tech_net28,-0.22461,-1.6062,-2.47561,-1.1497,-1.37431,-2.27638,-1.45042,-2.11984,-3.60271,-0.917866,-0.631435,-1.31401,-1.10495,-1.26386,-1.13083,-2.06113,-1.24136,-1.31536,-2.15246,-1.53009,-2.50929,-1.7626,-2.45658,-2.4955,-1.86077,-2.3572,-2.66821,-2.75761,-4.00065,-4.30168,12.945,7.5989,8.6351,1.112102055,0.880750729,0.936267371
29,soc-firm-hi-tech_net29,-0.1267,-1.6805,-2.44435,-1.16974,-1.4035,-2.40405,-1.43895,-2.06615,-3.00065,-0.883711,-0.640058,-1.30168,-1.1227,-1.23387,-1.1618,-2.08949,-1.34216,-1.30168,-2.2486,-1.41802,-2.79653,-1.80199,-2.3572,-2.04161,-1.81172,-2.42662,-2.27638,-2.83928,-2.73348,-3.82456,24.03,7.8287,12.187,1.380753771,0.893689651,1.085896811
30,soc-firm-hi-tech_net30,-0.26911,-1.64176,-2.57741,-1.17685,-1.36017,-2.21532,-1.44375,-2.18774,-3.45658,-0.917328,-0.613172,-1.26585,-1.05642,-1.22686,-1.16369,-2.18774,-1.26745,-1.40405,-2.16496,-1.57171,-2.62044,-1.69423,-2.88671,-2.25636,-1.95729,-2.46283,-2.60271,-3.26029,-3.69962,-4.30168,10.487,7.475,7.5725,1.020651268,0.873611197,0.879239282
31,soc-firm-hi-tech_net31,-0.16898,-1.61504,-2.41519,-1.16306,-1.38365,-2.28465,-1.37999,-2.01388,-3.09756,-0.913757,-0.650209,-1.35132,-1.05939,-1.21037,-1.13584,-2.2225,-1.39052,-1.29951,-2.06868,-1.49011,-2.63892,-1.75886,-2.34744,-2.31491,-1.78449,-2.46283,-2.42662,-2.79653,-3.69962,-4.30168,15.367,7.6749,9.5725,1.186589091,0.885072726,0.981025375
32,soc-firm-hi-tech_net32,-0.066618,-1.74297,-2.50929,-1.14061,-1.36668,-2.31941,-1.37175,-1.98571,-2.93995,-0.948534,-0.662793,-1.3932,-1.07715,-1.22431,-1.12791,-2.19109,-1.29096,-1.28507,-2.07637,-1.47431,-2.50234,-1.76512,-2.3332,-2.04883,-1.71735,-2.62958,-2.16496,-2.69962,-3.2225,-3.69962,26.128,7.8479,12.773,1.417106167,0.894753461,1.106292912
33,soc-firm-hi-tech_net33,-0.23425,-1.68259,-2.59411,-1.15804,-1.35376,-2.19109,-1.49415,-2.18774,-3.60271,-0.928033,-0.619265,-1.29393,-1.06038,-1.28423,-1.15648,-2.11699,-1.15742,-1.37124,-2.14634,-1.62407,-2.25636,-1.71062,-2.60271,-2.54581,-1.89344,-2.48877,-2.7219,-3.30168,-3.52353,-4.30168,11.727,7.5432,8.1552,1.069186925,0.877555623,0.911434616
34,soc-firm-hi-tech_net34,-0.24018,-1.72419,-2.57741,-1.13882,-1.38681,-2.23722,-1.47173,-2.30605,-3.12559,-0.934325,-0.591141,-1.29436,-1.05691,-1.31223,-1.13407,-2.09486,-1.22214,-1.42144,-2.16496,-1.57252,-2.54581,-1.70618,-2.57741,-2.2225,-2.05371,-2.50234,-2.59411,-3.12559,-3.60271,-4.30168,11.3,7.5219,7.9532,1.053078443,0.876327555,0.900541904
35,soc-firm-hi-tech_net35,-0.24167,-1.62682,-2.43245,-1.14878,-1.38787,-2.2723,-1.46536,-2.19788,-3.69962,-0.915004,-0.606199,-1.31581,-1.1011,-1.2723,-1.09919,-2.13142,-1.22504,-1.39106,-2.04641,-1.62682,-2.40959,-1.74177,-2.59411,-2.56929,-1.91966,-2.4955,-2.85452,-3.26029,-3.82456,-4.30168,11.133,7.5116,7.8807,1.046612209,0.875732453,0.896564795
36,soc-firm-hi-tech_net36,-0.051041,-1.7095,-2.46917,-1.16782,-1.42952,-2.42087,-1.34986,-2.04883,-2.85452,-0.928033,-0.653223,-1.50719,-1.00744,-1.202,-1.13703,-2.23722,-1.39212,-1.28215,-1.96322,-1.44556,-2.82456,-1.84229,-2.32855,-1.88504,-1.78054,-2.53825,-2.20826,-2.82456,-2.83928,-3.60271,23.274,7.8138,12.11,1.36687103,0.892862291,1.083144143
37,soc-firm-hi-tech_net37,-0.1089,-1.68154,-2.52353,-1.17296,-1.41126,-2.3826,-1.45783,-2.13733,-3.39859,-0.921832,-0.647793,-1.40736,-0.992264,-1.23872,-1.18144,-2.18774,-1.27068,-1.26665,-2.05617,-1.539,-2.55349,-1.66219,-2.35229,-2.2225,-1.79383,-2.32396,-2.3332,-3.00065,-3.04641,-4.30168,19.246,7.757,10.92,1.284340481,0.889693791,1.038222638
38,soc-firm-hi-tech_net38,-0.22461,-1.64463,-2.50234,-1.16369,-1.36067,-2.29736,-1.37947,-2.11984,-3.52353,-0.936193,-0.649048,-1.26266,-1.05273,-1.22105,-1.0842,-2.31045,-1.36366,-1.33837,-1.99848,-1.50028,-2.67843,-1.80614,-2.60271,-2.50234,-1.83481,-2.36216,-2.62044,-3.09756,-3.69962,-4.30168,12.332,7.572,8.3858,1.091033516,0.879210605,0.9235445
39,soc-firm-hi-tech_net39,-0.11112,-1.63051,-2.61148,-1.19042,-1.39859,-2.3332,-1.36266,-2.06615,-2.85452,-0.963025,-0.67926,-1.36971,-1.05322,-1.21925,-1.07896,-2.2298,-1.22577,-1.34551,-1.93807,-1.50719,-2.38787,-1.69638,-2.59411,-2.00283,-1.88173,-2.03923,-2.42662,-2.7219,-3.07123,-4.30168,22.155,7.803,11.757,1.345471754,0.892261607,1.070296518
40,soc-firm-hi-tech_net40,-0.10964,-1.6774,-2.50929,-1.15835,-1.40296,-2.28465,-1.4572,-2.0842,-2.97946,-0.9447,-0.628015,-1.35572,-1.04689,-1.24937,-1.14513,-2.13436,-1.26705,-1.32304,-2.13436,-1.49011,-2.63892,-1.71848,-2.29308,-2.07896,-1.92147,-2.4955,-2.2225,-2.87032,-3.34744,-3.60271,18.186,7.7374,10.569,1.259737187,0.888595049,1.024033898
41,soc-firm-hi-tech_net41,-0.28691,-1.63236,-2.7219,-1.16878,-1.31851,-2.13733,-1.60098,-2.28049,-3.82456,-0.903741,-0.584094,-1.17135,-1.14362,-1.34792,-1.21818,-2.07637,-1.13644,-1.4769,-2.35229,-1.6543,-2.17458,-1.69423,-2.55349,-2.59411,-2.06615,-2.25636,-2.6889,-3.02293,-3.39859,-4.30168,10.729,7.4928,7.7028,1.030559245,0.87464414,0.886648622
42,soc-firm-hi-tech_net42,-0.17343,-1.60358,-2.46917,-1.13555,-1.31223,-2.06113,-1.48082,-2.14031,-3.07123,-0.911629,-0.616656,-1.29053,-1.11586,-1.40131,-1.23312,-2.044,-1.13171,-1.34647,-2.45658,-1.62682,-2.28884,-1.68784,-2.43836,-2.21178,-2.01838,-2.3774,-2.46283,-2.81032,-3.39859,-4.30168,17.329,7.7238,10.272,1.238773502,0.88783102,1.011655011
43,soc-firm-hi-tech_net43,-0.12521,-1.65137,-2.53083,-1.15867,-1.39373,-2.19788,-1.42259,-2.06868,-3.39859,-0.962031,-0.648565,-1.29908,-1.10302,-1.26147,-1.14574,-2.07637,-1.17231,-1.32077,-2.17135,-1.46472,-2.61148,-1.66219,-2.3774,-2.37226,-1.79114,-2.2723,-2.65823,-2.81032,-3.45658,-4.30168,20.24,7.7754,11.207,1.306210508,0.89072274,1.049489372
44,soc-firm-hi-tech_net44,-0.28395,-1.64272,-2.54581,-1.18078,-1.34744,-2.2486,-1.55661,-2.25246,-3.39859,-0.88189,-0.589115,-1.18111,-1.13318,-1.36517,-1.18078,-2.11699,-1.12156,-1.46032,-2.35229,-1.61773,-2.43836,-1.74901,-2.58568,-2.56929,-2.13436,-2.34264,-3.07123,-3.26029,-3.69962,-4.30168,11.142,7.5173,7.8837,1.046963154,0.876061882,0.89673009
45,soc-firm-hi-tech_net45,-0.17788,-1.70508,-2.74538,-1.17167,-1.40792,-2.40959,-1.4597,-2.14939,-3.07123,-0.917148,-0.638357,-1.28381,-1.02591,-1.24061,-1.12559,-2.04883,-1.30125,-1.3436,-2.11416,-1.49347,-2.71062,-1.71622,-2.4955,-2.25636,-1.87032,-2.3774,-2.53825,-3.09756,-3.26029,-4.00065,14.22,7.6404,9.1685,1.152899596,0.883116096,0.962298289
46,soc-firm-hi-tech_net46,-0.14005,-1.63423,-2.61148,-1.18707,-1.37124,-2.12559,-1.51849,-2.11984,-3.18774,-0.949691,-0.622344,-1.18807,-1.10193,-1.3826,-1.17103,-2.15555,-1.16433,-1.34503,-2.36216,-1.51706,-2.17458,-1.68259,-2.3572,-2.25246,-1.91607,-2.27638,-2.46283,-2.56132,-3.26029,-4.30168,18.48,7.7451,10.68,1.266701967,0.889027029,1.028571253
47,soc-firm-hi-tech_net47,-0.16749,-1.63892,-2.51635,-1.13377,-1.37226,-2.40405,-1.43304,-2.19109,-3.07123,-0.914113,-0.628568,-1.30824,-1.0324,-1.2361,-1.13171,-2.13142,-1.37277,-1.35083,-2.2335,-1.4928,-2.97946,-1.89175,-2.66821,-2.02065,-1.90723,-2.56929,-2.3932,-2.90374,-3.34744,-3.60271,14.096,7.6357,9.1052,1.149095891,0.882848857,0.95928949
48,soc-firm-hi-tech_net48,-0.10148,-1.58235,-2.48214,-1.13763,-1.37637,-2.25246,-1.3826,-2.06615,-3.45658,-0.946805,-0.6667,-1.45042,-1.06716,-1.19312,-1.12879,-2.14939,-1.2723,-1.29096,-1.96723,-1.51351,-2.47561,-1.73583,-2.43245,-2.2486,-1.77148,-2.35229,-2.42087,-2.73348,-3.45658,-3.82456,20.091,7.7713,11.176,1.303001554,0.890493675,1.048286393
49,soc-firm-hi-tech_net49,-0.30101,-1.67329,-2.69962,-1.15898,-1.37329,-2.26029,-1.54963,-2.31045,-4.00065,-0.929321,-0.555748,-1.19075,-1.11079,-1.30736,-1.18574,-2.11984,-1.17199,-1.49959,-2.24478,-1.68784,-2.31491,-1.6805,-2.85452,-2.7219,-2.11416,-2.46917,-3.07123,-3.39859,-4.30168,-4.30168,9.6139,7.4147,7.1811,0.9828996,0.870093584,0.856190975
50,soc-firm-hi-tech_net50,-0.17639,-1.57741,-2.48214,-1.13822,-1.38946,-2.2298,-1.45411,-2.18774,-3.82456,-0.904785,-0.622526,-1.34696,-1.05691,-1.27638,-1.1736,-2.02984,-1.2391,-1.38787,-2.13733,-1.53304,-2.58568,-1.72765,-2.75761,-2.26029,-1.88838,-2.51635,-2.59411,-2.88671,-3.39859,-4.30168,13.382,7.6102,8.8585,1.126521026,0.88139607,0.94736019
51,soc-firm-hi-tech_net51,-0.061426,-1.63892,-2.39859,-1.1497,-1.38051,-2.28884,-1.4597,-2.07896,-3.04641,-0.944127,-0.621708,-1.31179,-1.11529,-1.2727,-1.18774,-2.17135,-1.25714,-1.27678,-2.3332,-1.41916,-2.56929,-1.81881,-2.36216,-2.14031,-1.78054,-2.53083,-2.23722,-2.81032,-2.97946,-4.30168,24.005,7.8234,12.317,1.38030171,0.893395536,1.090504941
52,soc-firm-hi-tech_net52,-0.19568,-1.63144,-2.45658,-1.15277,-1.3687,-2.28884,-1.41859,-2.06868,-3.18774,-0.981535,-0.635257,-1.2965,-1.09083,-1.22686,-1.11898,-2.00065,-1.24899,-1.3235,-2.03217,-1.51351,-2.64847,-1.70729,-2.48214,-2.28465,-1.87193,-2.4955,-2.6889,-2.87032,-3.39859,-4.30168,13.753,7.6257,8.9783,1.138397443,0.882279716,0.953194113
53,soc-firm-hi-tech_net53,-0.13634,-1.60098,-2.42087,-1.12617,-1.34986,-2.30605,-1.44015,-2.10856,-3.34744,-0.93638,-0.617914,-1.35819,-1.06313,-1.26545,-1.1707,-2.42662,-1.29011,-1.30212,-2.11416,-1.4881,-2.7219,-1.82024,-2.3932,-2.27638,-1.87355,-2.42662,-2.54581,-2.97946,-3.09756,-4.30168,14.538,7.6471,9.2937,1.162504665,0.883496769,0.968188649
54,soc-firm-hi-tech_net54,-0.21793,-1.72304,-2.61148,-1.17783,-1.39159,-2.43836,-1.4597,-2.21532,-3.45658,-0.908457,-0.592496,-1.30255,-1.04569,-1.2391,-1.15092,-2.07379,-1.32671,-1.36517,-2.2486,-1.52571,-2.79653,-1.82311,-2.47561,-2.25246,-1.86871,-2.66821,-2.48877,-3.09756,-3.69962,-4.30168,11.937,7.5527,8.2225,1.076895194,0.878102234,0.915003882
55,soc-firm-hi-tech_net55,-0.10445,-1.71622,-2.60271,-1.15898,-1.3884,-2.28465,-1.41519,-2.04641,-2.97946,-0.917866,-0.642526,-1.37534,-1.07715,-1.27925,-1.15339,-2.18441,-1.29607,-1.31986,-2.13436,-1.45534,-2.53825,-1.71509,-2.15246,-2.09486,-1.71622,-2.3572,-2.24098,-2.64847,-3.07123,-4.30168,24.127,7.8279,12.264,1.382503324,0.893645269,1.088632142
56,soc-firm-hi-tech_net56,-0.10816,-1.58235,-2.46917,-1.16528,-1.37947,-2.28884,-1.45349,-2.07379,-3.18774,-0.930244,-0.633668,-1.30299,-1.06767,-1.25911,-1.15185,-2.20131,-1.24899,-1.36567,-2.10578,-1.5504,-2.56929,-1.64654,-2.33789,-2.29736,-1.89175,-2.34744,-2.37226,-3.04641,-3.02293,-4.00065,19.364,7.7593,10.954,1.286995074,0.889822543,1.039572737
57,soc-firm-hi-tech_net57,-0.21126,-1.64176,-2.53825,-1.14483,-1.34026,-2.21178,-1.4107,-2.11699,-3.45658,-0.952015,-0.633668,-1.27761,-1.08684,-1.25246,-1.12328,-2.22613,-1.24745,-1.35327,-2.08949,-1.56768,-2.54581,-1.70508,-2.50234,-2.29736,-1.89006,-2.43836,-2.62044,-2.75761,-3.30168,-4.30168,13.308,7.6121,8.7823,1.124112792,0.881504485,0.943608268
58,soc-firm-hi-tech_net58,-0.15785,-1.63987,-2.52353,-1.1568,-1.36466,-2.14332,-1.49618,-2.14939,-3.18774,-0.909336,-0.608482,-1.26665,-1.14362,-1.32304,-1.19856,-2.24098,-1.15246,-1.3436,-2.3774,-1.54657,-2.42662,-1.70399,-2.35229,-2.30605,-1.94375,-2.28884,-2.56132,-2.87032,-3.39859,-4.30168,16.348,7.6994,9.9599,1.213464629,0.886456883,0.998254978
59,soc-firm-hi-tech_net59,-0.17417,-1.67024,-2.4955,-1.13733,-1.36971,-2.09217,-1.45596,-2.2335,-3.34744,-0.993544,-0.607427,-1.28716,-1.09243,-1.21925,-1.17135,-2.2298,-1.1821,-1.40131,-2.13436,-1.54504,-2.3774,-1.63987,-2.40405,-2.42662,-1.99633,-2.30605,-2.42087,-3.04641,-4.00065,-4.30168,13.898,7.6295,9.0559,1.142952307,0.882496077,0.956931618
