Network,Network,Assortivity,GFD1,GFD2,GFD3,GFD4,GFD5,GFD6,GFD7,GFD8,GFD9,GFD10,GFD11,GFD12,GFD13,GFD14,GFD15,GFD16,GFD17,GFD18,GFD19,GFD20,GFD21,GFD22,GFD23,GFD24,GFD25,GFD26,GFD27,GFD28,GFD29,Hawkes,Eigen,SIS,LOG_Hawkes,LOG_Eigen,LOG_SIS
11,socfb-Caltech36_network_11,-0.073856,-4.30168,-4.30168,-2.15246,-2.50234,-3.45658,-2.85452,-3.52353,-4.30168,-0.686678,-0.421096,-1.12675,-1.11051,-1.29908,-1.18908,-2.11984,-1.26826,-1.55974,-2.37226,-1.75514,-2.7219,-1.93061,-2.95926,-2.71062,-2.3332,-2.81032,-2.93995,-3.34744,-4.30168,-4.00065,8.9025,73.427,8.6596,0.949511982,1.865855785,0.937497832
12,socfb-Caltech36_network_12,-0.074914,-4.30168,-4.30168,-2.09756,-2.32855,-3.52353,-2.62958,-3.45658,-4.30168,-0.699404,-0.42633,-1.08236,-1.08869,-1.27638,-1.20338,-2.20131,-1.26786,-1.60098,-2.42087,-1.7702,-2.74538,-1.92877,-2.97946,-2.6889,-2.40405,-2.7702,-2.97946,-3.60271,-3.82456,-4.30168,8.871,73.403,8.6301,0.947972579,1.86571381,0.936015828
13,socfb-Caltech36_network_13,-0.067433,-4.30168,-4.30168,-2.20826,-2.52353,-3.45658,-2.69962,-3.60271,-4.30168,-0.706957,-0.413782,-1.09621,-1.09297,-1.28507,-1.20966,-2.14939,-1.26306,-1.58568,-2.3572,-1.83186,-2.65823,-1.95533,-2.87032,-2.56929,-2.37226,-2.7702,-3.02293,-3.52353,-3.52353,-4.30168,9.0613,73.542,8.8082,0.957190509,1.866535436,0.944887167
14,socfb-Caltech36_network_14,-0.060889,-3.45658,-4.00065,-2.25246,-2.43245,-3.39859,-2.93995,-3.69962,-4.30168,-0.697887,-0.412379,-1.09838,-1.11984,-1.29351,-1.20547,-2.11699,-1.26585,-1.58987,-2.47561,-1.73701,-2.7219,-1.96322,-2.88671,-2.73348,-2.37226,-2.75761,-3.2225,-3.52353,-3.82456,-4.30168,9.2845,73.7,9.0166,0.967758521,1.867467488,0.955042804
15,socfb-Caltech36_network_15,-0.07988,-3.60271,-4.30168,-2.06113,-2.19447,-3.2225,-2.59411,-3.69962,-4.00065,-0.692087,-0.411595,-1.1187,-1.12213,-1.28049,-1.21248,-2.15867,-1.26227,-1.65823,-2.3932,-1.79518,-2.83928,-2.01612,-3.02293,-2.67843,-2.42662,-2.75761,-2.88671,-3.45658,-4.00065,-4.30168,8.7122,73.279,8.4818,0.940127837,1.864979534,0.928488028
16,socfb-Caltech36_network_16,-0.06768,-3.82456,-4.30168,-2.14634,-2.46283,-3.45658,-2.75761,-3.45658,-4.30168,-0.698212,-0.417963,-1.12012,-1.10967,-1.3109,-1.1874,-2.12559,-1.22069,-1.60184,-2.3826,-1.79518,-2.62958,-1.95338,-3.07123,-2.57741,-2.3932,-2.78317,-3.04641,-3.26029,-4.30168,-4.30168,9.0638,73.545,8.8104,0.957310314,1.866553152,0.944995626
17,socfb-Caltech36_network_17,-0.063461,-4.30168,-4.30168,-2.17135,-2.41519,-3.52353,-2.87032,-3.45658,-4.30168,-0.699187,-0.419783,-1.09702,-1.10247,-1.31134,-1.16117,-2.20477,-1.26947,-1.57009,-2.47561,-1.75023,-2.69962,-2.01838,-2.92147,-2.69962,-2.3332,-2.81032,-3.04641,-3.82456,-4.00065,-4.30168,9.2262,73.661,8.9622,0.965022865,1.86723761,0.952414631
18,socfb-Caltech36_network_18,-0.058835,-4.30168,-4.30168,-2.26029,-2.61148,-4.00065,-2.78317,-3.69962,-4.30168,-0.671253,-0.413221,-1.17685,-1.09756,-1.27843,-1.22577,-2.1227,-1.25675,-1.60972,-2.45042,-1.75886,-2.93995,-1.98362,-3.15555,-2.51635,-2.32396,-2.69962,-2.97946,-3.39859,-4.00065,-4.30168,9.3662,73.756,9.0925,0.971563427,1.867797356,0.95868331
19,socfb-Caltech36_network_19,-0.064496,-3.69962,-4.30168,-2.21178,-2.7219,-3.26029,-2.82456,-3.52353,-4.30168,-0.690489,-0.423389,-1.10744,-1.11275,-1.28674,-1.16942,-2.19109,-1.26585,-1.59496,-2.38787,-1.69315,-2.66821,-1.98571,-2.97946,-2.74538,-2.34744,-2.7702,-2.97946,-3.52353,-3.69962,-4.30168,9.1947,73.639,8.9331,0.963537564,1.867107882,0.951002196
20,socfb-Caltech36_network_20,-0.072842,-4.30168,-4.30168,-2.18774,-2.45042,-3.82456,-2.87032,-4.30168,-4.30168,-0.678639,-0.416433,-1.1136,-1.10995,-1.28548,-1.21425,-2.13733,-1.26987,-1.60708,-2.3332,-1.81172,-2.74538,-1.95729,-3.02293,-2.66821,-2.42662,-2.83928,-3.09756,-4.30168,-4.30168,-4.30168,8.9161,73.436,8.6726,0.950174931,1.865909013,0.938149316
21,socfb-Caltech36_network_21,-0.065333,-3.26029,-3.82456,-2.20131,-2.40405,-3.30168,-2.62044,-3.69962,-4.00065,-0.681962,-0.413164,-1.11079,-1.14151,-1.28423,-1.23017,-2.06363,-1.24592,-1.62774,-2.3826,-1.81596,-2.82456,-1.98993,-2.88671,-2.64847,-2.34264,-2.78317,-3.07123,-3.82456,-3.60271,-4.30168,9.1491,73.606,8.89,0.961378374,1.866913217,0.948901761
22,socfb-Caltech36_network_22,-0.058797,-3.26029,-4.30168,-2.17458,-2.53825,-3.60271,-2.85452,-3.82456,-4.00065,-0.691447,-0.414345,-1.08737,-1.13436,-1.29266,-1.19754,-2.14031,-1.25911,-1.66021,-2.32396,-1.76512,-2.75761,-1.97946,-2.79653,-2.64847,-2.37226,-2.85452,-2.92147,-3.34744,-3.82456,-4.30168,9.3613,73.752,9.0885,0.971336163,1.867773802,0.958492212
23,socfb-Caltech36_network_23,-0.06612,-3.60271,-4.30168,-2.21532,-2.42087,-3.39859,-2.67843,-3.69962,-4.30168,-0.686784,-0.42041,-1.13614,-1.08552,-1.27311,-1.21037,-2.15246,-1.25636,-1.64176,-2.31045,-1.76639,-2.62958,-1.93807,-2.88671,-2.71062,-2.36718,-2.81032,-3.12559,-3.52353,-4.30168,-4.30168,9.1077,73.576,8.852,0.959408717,1.866736173,0.947041405
24,socfb-Caltech36_network_24,-0.07003,-4.30168,-4.30168,-2.0842,-2.33789,-3.69962,-2.69962,-3.52353,-4.30168,-0.713073,-0.421039,-1.06389,-1.12704,-1.27597,-1.19617,-2.18774,-1.25871,-1.60184,-2.36216,-1.71848,-2.73348,-1.96924,-2.74538,-2.73348,-2.29308,-2.85452,-3.07123,-3.60271,-4.00065,-4.30168,8.9742,73.478,8.7266,0.952995744,1.866157327,0.94084507
25,socfb-Caltech36_network_25,-0.072923,-4.30168,-4.30168,-2.21532,-2.48214,-3.39859,-2.66821,-3.82456,-4.30168,-0.692514,-0.423561,-1.08105,-1.11079,-1.30517,-1.18309,-2.13142,-1.27597,-1.57252,-2.3332,-1.76512,-2.7219,-1.97946,-3.00065,-2.57741,-2.3826,-2.78317,-3.09756,-3.39859,-4.00065,-4.30168,8.9379,73.454,8.6928,0.951235491,1.866015451,0.939159688
26,socfb-Caltech36_network_26,-0.067305,-4.00065,-4.30168,-2.18441,-2.57741,-3.30168,-2.88671,-3.82456,-4.30168,-0.702344,-0.418758,-1.08737,-1.09974,-1.29908,-1.17587,-2.11984,-1.27068,-1.61773,-2.43245,-1.78317,-2.81032,-1.93061,-2.95926,-2.56929,-2.30605,-2.7702,-2.92147,-3.60271,-4.30168,-4.30168,9.0944,73.568,8.8391,0.958774052,1.86668895,0.946408047
27,socfb-Caltech36_network_27,-0.070514,-4.30168,-4.30168,-2.21532,-2.36718,-3.60271,-2.73348,-4.00065,-4.30168,-0.707509,-0.406203,-1.08157,-1.13703,-1.30736,-1.18874,-2.17458,-1.28215,-1.59667,-2.44435,-1.7702,-2.75761,-1.95338,-2.97946,-2.62958,-2.33789,-2.6889,-3.12559,-3.69962,-3.82456,-4.30168,8.9897,73.491,8.7415,0.953745199,1.866234157,0.941585962
28,socfb-Caltech36_network_28,-0.065322,-3.39859,-4.30168,-2.24478,-2.42087,-3.69962,-2.75761,-3.82456,-4.00065,-0.675135,-0.414458,-1.13436,-1.13763,-1.27967,-1.22178,-2.10856,-1.25053,-1.61504,-2.46917,-1.7601,-2.75761,-1.94185,-2.97946,-2.66821,-2.31941,-2.83928,-3.12559,-3.52353,-4.30168,-4.30168,9.1478,73.605,8.8892,0.961316661,1.866907317,0.948862678
29,socfb-Caltech36_network_29,-0.074399,-4.30168,-4.30168,-2.18441,-2.41519,-3.39859,-2.85452,-3.69962,-4.30168,-0.694977,-0.414232,-1.10468,-1.10385,-1.32487,-1.18908,-2.10028,-1.25363,-1.6333,-2.40959,-1.75391,-2.61148,-1.95338,-3.12559,-2.81032,-2.43836,-2.83928,-3.15555,-3.26029,-3.60271,-4.30168,8.8809,73.41,8.6397,0.94845698,1.865755224,0.936498663
30,socfb-Caltech36_network_30,-0.063688,-3.60271,-4.30168,-2.11699,-2.29736,-3.2225,-2.64847,-3.60271,-4.30168,-0.707399,-0.408641,-1.13882,-1.11275,-1.30473,-1.19345,-2.10578,-1.26866,-1.57333,-2.28884,-1.78054,-2.66821,-1.93807,-3.09756,-2.65823,-2.36718,-2.83928,-3.07123,-3.39859,-3.69962,-4.30168,9.2331,73.667,8.9685,0.965347539,1.867272984,0.952719812
31,socfb-Caltech36_network_31,-0.05941,-3.60271,-4.30168,-2.18774,-2.45042,-3.39859,-2.7219,-3.34744,-4.30168,-0.697563,-0.425117,-1.09539,-1.11586,-1.2595,-1.1749,-2.13436,-1.24516,-1.59156,-2.46283,-1.80337,-2.85452,-1.96124,-2.93995,-2.71062,-2.34264,-2.83928,-3.15555,-3.34744,-3.82456,-4.30168,9.3761,73.764,9.1024,0.972022231,1.867844459,0.959155916
32,socfb-Caltech36_network_32,-0.068309,-3.82456,-4.30168,-2.26826,-2.48214,-3.34744,-2.79653,-3.45658,-4.00065,-0.699404,-0.417679,-1.09243,-1.12588,-1.30299,-1.16942,-2.14332,-1.2486,-1.61684,-2.36216,-1.80199,-2.83928,-1.8768,-2.95926,-2.67843,-2.37226,-2.7702,-3.12559,-3.09756,-4.00065,-4.30168,9.0491,73.534,8.7973,0.956605388,1.866488191,0.944349402
33,socfb-Caltech36_network_33,-0.077207,-3.2225,-4.00065,-2.2189,-2.42662,-3.45658,-2.64847,-3.69962,-4.30168,-0.689851,-0.410311,-1.09594,-1.11275,-1.28758,-1.20269,-2.11984,-1.27884,-1.68468,-2.42087,-1.85764,-2.62958,-1.95143,-3.00065,-2.65823,-2.42662,-2.7702,-3.12559,-3.39859,-3.82456,-4.30168,8.788,73.338,8.553,0.943890048,1.865329062,0.932118472
34,socfb-Caltech36_network_34,-0.069513,-3.82456,-4.30168,-2.3572,-2.32855,-3.45658,-2.83928,-3.34744,-4.30168,-0.714419,-0.421897,-1.07948,-1.09974,-1.29479,-1.17393,-2.13142,-1.2486,-1.60795,-2.36718,-1.7626,-2.69962,-1.93995,-2.88671,-2.63892,-2.24098,-2.73348,-2.95926,-3.45658,-3.69962,-4.30168,8.9771,73.48,8.7292,0.953136063,1.866169148,0.940974444
35,socfb-Caltech36_network_35,-0.057121,-4.30168,-4.30168,-2.25636,-2.44435,-3.45658,-2.83928,-3.82456,-4.00065,-0.70049,-0.422241,-1.0821,-1.10856,-1.28927,-1.18507,-2.16496,-1.27027,-1.56608,-2.43245,-1.75268,-2.79653,-1.97535,-2.82456,-2.59411,-2.26425,-2.82456,-3.00065,-3.39859,-3.69962,-4.30168,9.4344,73.801,9.1568,0.974714286,1.868062247,0.961743729
36,socfb-Caltech36_network_36,-0.064614,-4.00065,-4.30168,-2.2335,-2.38787,-3.52353,-2.69962,-3.82456,-4.30168,-0.718369,-0.415868,-1.09378,-1.10193,-1.31312,-1.15462,-2.17135,-1.2548,-1.60358,-2.31941,-1.77924,-2.64847,-1.94757,-2.83928,-2.64847,-2.31491,-2.6889,-3.15555,-3.39859,-4.30168,-4.30168,9.1797,73.628,8.9194,0.962828488,1.867043004,0.950335641
37,socfb-Caltech36_network_37,-0.072579,-4.00065,-4.30168,-2.15246,-2.42662,-3.30168,-2.6889,-4.00065,-4.30168,-0.700164,-0.414514,-1.11671,-1.10578,-1.27311,-1.19754,-2.18774,-1.2859,-1.59411,-2.3826,-1.77664,-2.82456,-1.91251,-2.87032,-2.52353,-2.29308,-2.85452,-3.18774,-3.45658,-4.00065,-4.30168,8.8945,73.418,8.6519,0.949121539,1.86580255,0.937111491
38,socfb-Caltech36_network_38,-0.069942,-3.04641,-4.00065,-2.06363,-2.26029,-3.34744,-2.56929,-3.82456,-4.30168,-0.697347,-0.42121,-1.10056,-1.09539,-1.32032,-1.18774,-2.19109,-1.27311,-1.61594,-2.36216,-1.7898,-2.56929,-1.95926,-3.00065,-2.61148,-2.34264,-2.81032,-2.97946,-3.60271,-3.69962,-4.30168,9.001,73.499,8.7514,0.954290762,1.86628143,0.942077535
39,socfb-Caltech36_network_39,-0.067898,-4.30168,-4.30168,-2.25246,-2.46917,-3.39859,-3.00065,-4.30168,-4.30168,-0.70289,-0.416376,-1.09947,-1.10689,-1.27967,-1.19345,-2.14332,-1.23872,-1.6361,-2.41519,-1.78581,-2.6889,-1.91429,-2.75761,-2.59411,-2.46917,-2.6889,-3.04641,-3.52353,-4.00065,-4.30168,9.0934,73.568,8.8385,0.958726295,1.86668895,0.946378566
40,socfb-Caltech36_network_40,-0.067252,-4.30168,-4.30168,-2.09486,-2.28049,-3.30168,-2.74538,-3.45658,-4.30168,-0.682379,-0.419783,-1.09163,-1.11135,-1.2723,-1.22142,-2.13733,-1.29521,-1.66319,-2.43836,-1.76386,-2.69962,-1.94566,-2.93995,-2.71062,-2.3826,-2.82456,-3.15555,-3.45658,-3.69962,-4.30168,9.1339,73.598,8.8761,0.960656253,1.866866013,0.948222186
41,socfb-Caltech36_network_41,-0.066254,-4.30168,-4.30168,-2.19788,-2.46283,-4.00065,-2.92147,-3.60271,-4.00065,-0.705634,-0.423044,-1.09378,-1.10856,-1.2834,-1.1821,-2.16496,-1.2486,-1.54581,-2.36216,-1.7702,-2.78317,-1.95729,-3.00065,-2.57741,-2.28049,-2.87032,-2.93995,-3.52353,-3.60271,-4.30168,9.123,73.588,8.866,0.960137675,1.866807,0.947727727
42,socfb-Caltech36_network_42,-0.067515,-3.52353,-4.00065,-2.11984,-2.34264,-3.82456,-2.75761,-4.00065,-4.30168,-0.697131,-0.42633,-1.11699,-1.07098,-1.28091,-1.21107,-2.09217,-1.28215,-1.58401,-2.3332,-1.7219,-2.69962,-1.93995,-3.12559,-2.62044,-2.31941,-2.7702,-2.95926,-3.45658,-4.00065,-4.30168,9.0875,73.563,8.8328,0.958444424,1.866659432,0.946098397
43,socfb-Caltech36_network_43,-0.068079,-4.30168,-4.30168,-2.21178,-2.43245,-3.69962,-3.04641,-3.82456,-4.30168,-0.681962,-0.405045,-1.14695,-1.11135,-1.2772,-1.21568,-2.10302,-1.26786,-1.67024,-2.3826,-1.77664,-2.79653,-1.97535,-3.07123,-2.90374,-2.41519,-2.78317,-3.2225,-3.45658,-4.30168,-4.30168,9.0654,73.547,8.8121,0.957386972,1.866564962,0.945079417
44,socfb-Caltech36_network_44,-0.069135,-4.30168,-4.30168,-2.28049,-2.3774,-3.69962,-2.87032,-4.30168,-4.30168,-0.681233,-0.420468,-1.11275,-1.10744,-1.28215,-1.21532,-2.07896,-1.25519,-1.63516,-2.3572,-1.81881,-2.79653,-1.8768,-2.95926,-2.62044,-2.31491,-2.92147,-3.07123,-3.60271,-3.82456,-4.30168,9.0153,73.509,8.7656,0.954980183,1.866340515,0.942781649
45,socfb-Caltech36_network_45,-0.066185,-4.30168,-4.30168,-2.33789,-2.37226,-3.45658,-2.88671,-3.52353,-4.30168,-0.72684,-0.419043,-1.06716,-1.10083,-1.28758,-1.17231,-2.15555,-1.25363,-1.55661,-2.31941,-1.75761,-2.75761,-1.9733,-2.82456,-2.59411,-2.39859,-2.83928,-2.93995,-3.2225,-3.60271,-4.30168,9.1036,73.573,8.8479,0.959213167,1.866718465,0.946840206
46,socfb-Caltech36_network_46,-0.068408,-3.82456,-4.30168,-2.23722,-2.48214,-3.45658,-2.59411,-3.45658,-4.30168,-0.679053,-0.428651,-1.14695,-1.08869,-1.28008,-1.17653,-2.09217,-1.27843,-1.58651,-2.30605,-1.75761,-2.78317,-1.92877,-3.15555,-2.60271,-2.27638,-2.87032,-3.15555,-3.52353,-4.30168,-4.30168,9.0423,73.529,8.7909,0.956278912,1.86645866,0.94403334
47,socfb-Caltech36_network_47,-0.064826,-4.00065,-4.30168,-2.19447,-2.55349,-3.39859,-2.65823,-3.69962,-4.30168,-0.683738,-0.421325,-1.12414,-1.10357,-1.27678,-1.1921,-2.20131,-1.29223,-1.60532,-2.29736,-1.75023,-2.65823,-1.94185,-2.79653,-2.56132,-2.3332,-2.81032,-2.97946,-3.52353,-4.00065,-4.30168,9.1566,73.611,8.8967,0.961734243,1.866942718,0.949228946
48,socfb-Caltech36_network_48,-0.05921,-3.52353,-4.30168,-2.26826,-2.52353,-3.39859,-2.69962,-3.69962,-4.30168,-0.700055,-0.413221,-1.08923,-1.11955,-1.30255,-1.2139,-2.11984,-1.23948,-1.60532,-2.42662,-1.77534,-2.62958,-1.95926,-2.87032,-2.62958,-2.36718,-2.82456,-3.12559,-3.52353,-3.69962,-4.30168,9.3724,73.761,9.0982,0.971850815,1.867826796,0.958955479
49,socfb-Caltech36_network_49,-0.070298,-4.30168,-4.30168,-2.2225,-2.51635,-3.39859,-2.79653,-3.52353,-4.30168,-0.703,-0.413839,-1.08183,-1.1136,-1.29308,-1.19959,-2.12559,-1.28256,-1.63236,-2.39859,-1.72997,-2.7702,-1.93995,-2.97946,-2.62958,-2.26029,-2.82456,-3.00065,-3.39859,-3.60271,-4.30168,9.0041,73.502,8.7547,0.95444031,1.866299156,0.942241269
50,socfb-Caltech36_network_50,-0.06707,-3.39859,-4.30168,-2.20477,-2.32855,-3.69962,-2.66821,-3.82456,-4.30168,-0.716107,-0.417452,-1.08763,-1.09297,-1.30429,-1.18144,-2.11984,-1.25363,-1.61148,-2.34264,-1.80753,-2.87032,-1.88838,-2.90374,-2.56929,-2.3826,-2.79653,-2.95926,-3.60271,-3.82456,-4.30168,9.082,73.557,8.8282,0.958181498,1.866624008,0.945872163
51,socfb-Caltech36_network_51,-0.075378,-3.45658,-4.00065,-2.13436,-2.3826,-3.39859,-2.63892,-3.52353,-4.30168,-0.720186,-0.420011,-1.08869,-1.09974,-1.29436,-1.19549,-2.11984,-1.23201,-1.57577,-2.46283,-1.75637,-2.65823,-1.92877,-2.97946,-2.66821,-2.35229,-2.67843,-3.07123,-3.45658,-4.00065,-4.00065,8.8574,73.393,8.6177,0.947306258,1.86565464,0.935391371
52,socfb-Caltech36_network_52,-0.070351,-3.60271,-4.00065,-2.13142,-2.31941,-3.15555,-2.66821,-3.52353,-4.30168,-0.690489,-0.411092,-1.09974,-1.12213,-1.29479,-1.21142,-2.25636,-1.2723,-1.63892,-2.40405,-1.81032,-2.60271,-1.97946,-3.15555,-2.62958,-2.35229,-2.82456,-3.02293,-3.2225,-3.69962,-4.30168,8.9642,73.47,8.7177,0.952511538,1.86611004,0.94040192
53,socfb-Caltech36_network_53,-0.068939,-3.69962,-4.30168,-2.11416,-2.37226,-3.30168,-2.62958,-3.69962,-4.00065,-0.691127,-0.425868,-1.12849,-1.1253,-1.2727,-1.17914,-2.19788,-1.24212,-1.58903,-2.42087,-1.72304,-2.7219,-1.97127,-2.83928,-2.60271,-2.31491,-2.75761,-2.92147,-3.26029,-4.30168,-4.30168,9.0509,73.537,8.7985,0.956691767,1.866505909,0.944408638
54,socfb-Caltech36_network_54,-0.064886,-4.30168,-4.30168,-2.26029,-2.53825,-3.69962,-2.79653,-3.34744,-3.82456,-0.686995,-0.420982,-1.13259,-1.07922,-1.28091,-1.20721,-2.14634,-1.25169,-1.6259,-2.35229,-1.73231,-2.7219,-1.99418,-2.88671,-2.67843,-2.3932,-2.73348,-2.95926,-3.69962,-3.52353,-4.30168,9.1785,73.628,8.9169,0.962771712,1.867043004,0.950213896
55,socfb-Caltech36_network_55,-0.07089,-3.45658,-3.82456,-2.27638,-2.3332,-3.60271,-2.93995,-4.00065,-4.30168,-0.707509,-0.40903,-1.10689,-1.12501,-1.28091,-1.19042,-2.24478,-1.26386,-1.60972,-2.34744,-1.74417,-2.78317,-1.96924,-2.95926,-2.61148,-2.24478,-2.75761,-3.02293,-3.60271,-4.00065,-4.30168,8.9352,73.448,8.6903,0.951104278,1.865979974,0.939034769
56,socfb-Caltech36_network_56,-0.070244,-4.00065,-4.30168,-2.15867,-2.46917,-3.39859,-2.73348,-3.45658,-4.30168,-0.678639,-0.421382,-1.13912,-1.11444,-1.2834,-1.2265,-2.13436,-1.24212,-1.56608,-2.45042,-1.72649,-2.83928,-1.97535,-2.82456,-2.60271,-2.36216,-2.87032,-3.12559,-3.2225,-3.60271,-4.30168,9.0176,73.513,8.7681,0.955090967,1.866364146,0.942905494
57,socfb-Caltech36_network_57,-0.064011,-3.34744,-4.00065,-2.07637,-2.2335,-3.39859,-2.54581,-3.34744,-3.82456,-0.692193,-0.427083,-1.09351,-1.13054,-1.29053,-1.20097,-2.13436,-1.22613,-1.60271,-2.48214,-1.77664,-2.64847,-1.97535,-2.95926,-2.69962,-2.36216,-2.6889,-3.09756,-3.45658,-4.00065,-4.30168,9.1883,73.634,8.9272,0.963235167,1.867078393,0.950715265
58,socfb-Caltech36_network_58,-0.062746,-4.30168,-4.30168,-2.2298,-2.39859,-3.30168,-2.74538,-3.2225,-3.82456,-0.703876,-0.416886,-1.09539,-1.09136,-1.30299,-1.19583,-2.14031,-1.25911,-1.60795,-2.42087,-1.77276,-2.66821,-1.96522,-2.93995,-2.56929,-2.39859,-2.7219,-3.15555,-3.60271,-3.82456,-4.30168,9.2645,73.688,8.9988,0.966821986,1.867396769,0.9541846
59,socfb-Caltech36_network_59,-0.063093,-4.30168,-4.30168,-2.1227,-2.3332,-3.30168,-2.75761,-3.60271,-4.30168,-0.6953,-0.417736,-1.12184,-1.10412,-1.2723,-1.18574,-2.20131,-1.29436,-1.61773,-2.40959,-1.73348,-2.67843,-1.96124,-3.00065,-2.50234,-2.34264,-2.78317,-2.95926,-3.52353,-4.30168,-4.00065,9.2792,73.7,9.0118,0.967510535,1.867467488,0.954811545
